Startup,Industry,Sub Vertical,City,Investors,Investment Type,Investment Amount($),Date
DriveEdge,Enterprise,Automation,Gurugram,"Kalaari Capital, Nexus Venture Partners",Seed,98000.0,2024-04-25
ClearDekho,Real Estate,PropTech,Ahmedabad,"Lightspeed India, Sequoia Capital India",Series A,11144000.0,2024-04-24
BharatPe,Consumer Electronics,Smart Home,Pune,"IFC, Kalaari Capital, Sequoia Capital India",Growth,566555000.0,2024-04-19
NeoLabs,Media,Content,Gurugram,"SoftBank Vision Fund, Tiger Global",Angel,53000.0,2024-04-18
DriveFit,AgriTech,Smart Farming,Ahmedabad,SoftBank Vision Fund,Series B,23958000.0,2024-04-18
Cars24,Mobility,Micro Mobility,Mumbai,"Accel, Blume Ventures, Ventures India",Series A,2525000.0,2024-04-18
CoreSpace,Media,Content,Kolkata,"Bessemer Venture Partners, Omidyar Network",Seed,383000.0,2024-04-17
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,54120000.0,2024-04-16
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,517000.0,2024-04-16
GrowthConnect,E-commerce,Fashion,Ahmedabad,"Bessemer Venture Partners, Peak XV",Seed,406000.0,2024-04-11
AgriSense,FoodTech,Food Delivery,Ahmedabad,Elevation Capital,Angel,27000.0,2024-04-10
QuantumSolutions,FoodTech,Food Delivery,Hyderabad,Falcon Edge,Series A,13499000.0,2024-04-08
GrowthCare,Retail,Fashion,Gurugram,SoftBank Vision Fund,Series C,65689000.0,2024-04-07
EduTech,Media,Streaming,Pune,A91 Partners,Series B,6806000.0,2024-04-07
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,396000.0,2024-04-06
LogiMart,E-commerce,Grocery,Pune,"Blume Ventures, Tiger Global, Y Combinator",Angel,16000.0,2024-04-04
HyperLabs,Retail,E-Retail,Chennai,Prosus Ventures,Seed,120000.0,2024-04-03
AutoStack,FoodTech,Grocery,Kolkata,Peak XV,Series C,195631000.0,2024-03-31
NoBroker,SaaS,B2B SaaS,Mumbai,"Blume Ventures, Y Combinator",Seed,285000.0,2024-03-31
DriveFit,Logistics,Supply Chain,Mumbai,Elevation Capital,Angel,25000.0,2024-03-29
AeroStack,EdTech,UpSkilling,Noida,Bessemer Venture Partners,Series C,65394000.0,2024-03-29
Wakefit,E-commerce,D2C,Noida,"Lightspeed India, Tiger Global",Pre-Series A,426000.0,2024-03-29
DataAnalytics,Real Estate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,107000.0,2024-03-28
Dream11,FinTech,InsurTech,Hyderabad,Info Edge,Series B,34436000.0,2024-03-26
UrbanStack,Media,Social,Hyderabad,"Kedaara Capital, Sequoia Capital India",Seed,647000.0,2024-03-24
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,13444000.0,2024-03-21
AgriHive,E-commerce,Marketplace,Noida,Mirae Asset,Debt,201000.0,2024-03-17
CoreConnect,EdTech,Test Prep,Chennai,Matrix Partners India,Series B,18272000.0,2024-03-15
ClearTax,Consumer Electronics,Audio,Noida,"Bessemer Venture Partners, IFC",Seed,1786000.0,2024-03-09
Housejoy,Media,Social,Kolkata,Peak XV,Series A,1756000.0,2024-03-08
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,166000.0,2024-03-07
SmartMart,Real Estate,Rental Tech,Kolkata,"IFC, Kalaari Capital",Pre-Series A,659000.0,2024-03-07
AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,5000.0,2024-03-06
Razorpay,EdTech,UpSkilling,Pune,Sequoia Capital India,Series A,3483000.0,2024-03-04
SkillFlow,EdTech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,210000.0,2024-03-01
